classification_smilingProbability,au_AU01,au_AU02,au_AU06
0.0867313650159472,-4.155006149681509,-4.378867632694228,-3.141513939072791
0.0870463223563924,-3.581912039761322,-3.881810345736588,-3.0707772793867627
0.0738684378724487,-3.5766380088929295,-1.914211799506787,-2.1577808339527715
0.0860856409725613,-5.397129265363321,-3.1505893198736397,-3.7431319176576503
0.1367260393381287,-1.1136595632300097,-0.902324173190226,-3.5118585678064833
0.1226165520837209,-1.6509131560679264,-1.6942198978329033,-2.208693029896498
0.0577953547956939,-2.957144842290162,-5.977918271069503,3.3305044625447904
0.0336657057988826,-4.509919577625,-8.606077371249999,5.0597189625
0.0590354339393239,-2.733373872025204,-3.469949060869556,-3.793608860736797
0.0852773128557408,-2.9701777689422513,-2.155302822590624,-7.045517200720841
0.0546822879724112,-2.6619640305126344,-4.448779739292415,-0.8668484455851875
0.0490724022573348,-3.020343922914754,-5.495416711846261,-0.9385364440183804
0.2157011603557205,-1.1777441789885612,-0.7176411658647006,-2.503669139118856
0.1612123926708172,-2.835295801415308,-3.3551813466757263,-4.1926347001507525
0.1687869459894015,-4.002588824813189,-4.613676239185517,-4.601349277995402
0.0899451458415518,3.399290166507742,-0.0594564802021505,-2.7847768352741937
0.0951960725594741,3.4762479697156943,1.203296033761972,-11.431037747802815
0.0942928784523732,-3.840135927815698,-3.4604282035372997,-0.9281411310155606
0.0925103410588031,-4.443326181560622,-4.428877672597606,-1.280124577839617
0.1115475842735227,-3.8263016599874646,-3.467169001252036,-0.4101382434195727
0.0993242624869584,-2.7603048721006687,-2.9180350175024965,2.67577220688107
0.0768967261468342,-2.232171243134758,-2.92503328152997,-1.0496308730590749
0.0957076577923626,-0.5929719041127408,-1.188650358359111,-1.9796234010335112
0.1023099591775927,-5.4656996690495285,-8.096869498941427,-3.8083222850014313
0.0964467797828158,-2.973393498508028,-5.8709640583129925,-3.536984960594432
0.0760899282363623,-2.921436182623088,-4.756629788043654,0.0860033999814656
0.0380106262878025,-3.353907695977248,-3.5543027364174664,-7.498275639008669
0.031558032634529,-4.050738135096053,-4.540493834640839,-8.25057945193367
0.0725067829479388,-1.5982804019342458,-3.8934454355250208,-2.22991257350453
0.0745978065536251,-1.5009190038810247,-3.647354274376455,-2.51007057786698
0.0437172105915133,-2.6755960973359056,-5.199799077030233,-5.359093855541261
0.0672819456281385,-6.278572238964371,-9.156552139075194,-8.605981788706185
0.0484021782950221,-3.5203476530916076,-2.662417948790311,3.602233051360185
0.0526948627035727,-1.144090121176569,-1.4996739457200037,4.146234566350637
0.0182022162683712,1.066931777537098,-3.128253094783792,1.0787642795266914
0.0266967177695888,0.7723239434616535,-3.2682100120636615,1.0381471160255578
0.0954867130900454,-2.4786251261430348,-3.4497095180214186,0.8358750727540623
0.0773163550299886,-5.982201992027504,-6.246986325938784,-2.320427280968127
0.1031073119627856,-5.459156611608222,-3.56878997946112,-2.223409067537371
